player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
Charles Washington,,3,09/27/2020,Lions,L 23 - 26,,,https://www.nfl.com/players/charles-washington/stats/logs/
Charles Washington,,7,10/26/2020,Seahawks,W 37 - 34,,,https://www.nfl.com/players/charles-washington/stats/logs/
Charles Washington,,2,09/20/2020,Football Team,W 30 - 15,,,https://www.nfl.com/players/charles-washington/stats/logs/
Dwayne Washington,Regular Season,16,12/25/2020,Vikings,W 52 - 33,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
DeAndre Washington,Regular Season,6,10/19/2020,Bills,W 26 - 17,,,https://www.nfl.com/players/deandre-washington/stats/logs/
DeAndre Washington,Regular Season,5,10/11/2020,Chiefs,W 40 - 32,,,https://www.nfl.com/players/deandre-washington/stats/logs/
Charles Washington,,6,10/20/2020,Cowboys,W 38 - 10,,,https://www.nfl.com/players/charles-washington/stats/logs/
Charles Washington,,1,09/13/2020,49ers,W 24 - 20,,,https://www.nfl.com/players/charles-washington/stats/logs/
Charles Washington,,5,10/11/2020,Jets,W 30 - 10,,,https://www.nfl.com/players/charles-washington/stats/logs/
Charles Washington,,4,10/04/2020,Panthers,L 21 - 31,,,https://www.nfl.com/players/charles-washington/stats/logs/
Dwayne Washington,Regular Season,15,12/20/2020,Chiefs,L 29 - 32,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,14,12/13/2020,Eagles,L 21 - 24,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,13,12/06/2020,Falcons,W 21 - 16,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,12,11/29/2020,Broncos,W 31 - 3,2,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,11,11/22/2020,Falcons,W 24 - 9,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,10,11/15/2020,49ers,W 27 - 13,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,9,11/09/2020,Buccaneers,W 38 - 3,1.8,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,8,11/01/2020,Bears,W 26 - 23,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,7,10/25/2020,Panthers,W 27 - 24,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,2,09/22/2020,Raiders,L 24 - 34,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,5,10/13/2020,Chargers,W 30 - 27,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,4,10/04/2020,Lions,W 35 - 29,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Regular Season,3,09/28/2020,Packers,L 30 - 37,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Post Season,2,01/17/2021,Buccaneers,L 20 - 30,2,,https://www.nfl.com/players/dwayne-washington/stats/logs/
Dwayne Washington,Post Season,1,01/10/2021,Bears,W 21 - 9,,,https://www.nfl.com/players/dwayne-washington/stats/logs/
James Washington,Regular Season,17,01/03/2021,Browns,L 22 - 24,,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,16,12/27/2020,Colts,W 28 - 24,10,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,15,12/22/2020,Bengals,L 17 - 27,,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,14,12/14/2020,Bills,L 15 - 26,9.7,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,13,12/07/2020,Football Team,L 17 - 23,40,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,12,12/02/2020,Ravens,W 19 - 14,9.5,,https://www.nfl.com/players/james-washington/stats/logs/
