player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
Derek Watt,Regular Season,2,09/20/2020,Broncos,W 26 - 21,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,6,10/18/2020,Browns,W 38 - 7,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,1,09/14/2020,Giants,W 26 - 16,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,5,10/11/2020,Eagles,W 38 - 29,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Regular Season,3,09/27/2020,Texans,W 28 - 21,,,https://www.nfl.com/players/derek-watt/stats/logs/
Derek Watt,Post Season,1,01/11/2021,Browns,L 37 - 48,1,,https://www.nfl.com/players/derek-watt/stats/logs/
T.J. Watt,Regular Season,17,01/03/2021,Browns,L 22 - 24,,,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,16,12/27/2020,Colts,W 28 - 24,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,15,12/22/2020,Bengals,L 17 - 27,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,14,12/14/2020,Bills,L 15 - 26,1,1,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,13,12/07/2020,Football Team,L 17 - 23,1,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,12,12/02/2020,Ravens,W 19 - 14,2,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,11,11/22/2020,Jaguars,W 27 - 3,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,10,11/15/2020,Bengals,W 36 - 10,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,9,11/08/2020,Cowboys,W 24 - 19,1,3,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,8,11/01/2020,Ravens,W 28 - 24,2,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,7,10/25/2020,Titans,W 27 - 24,1,1,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,2,09/20/2020,Broncos,W 26 - 21,1,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,6,10/18/2020,Browns,W 38 - 7,1,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,1,09/14/2020,Giants,W 26 - 16,0,2,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,5,10/11/2020,Eagles,W 38 - 29,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Regular Season,3,09/27/2020,Texans,W 28 - 21,0,0,https://www.nfl.com/players/t-j-watt/stats/logs/
T.J. Watt,Post Season,1,01/11/2021,Browns,L 37 - 48,1,1,https://www.nfl.com/players/t-j-watt/stats/logs/
